,ACC_OWNERSHIP,ACC_MM_ACCOUNT,USG_DIGITAL_PAYMENT,ACC_ACC_BANK,INFRA_AGENT_DENSITY,INFRA_4G_COVERAGE
product_launch,,,,,,
market_entry,,,,,,
infrastructure,,,,,,
policy,,,,,,
milestone,,,,,,
partnership,,,,,,
pricing,,,,,,
